ORF,product
YKL167C,mitochondrial 54S ribosomal protein MRP49
YKL156W,ribosomal 40S subunit protein S27A
YKL155C,mitochondrial 37S ribosomal protein RSM22
YKL138C,mitochondrial 54S ribosomal protein YmL31
YKL082C,ribosome biosynthesis protein RRP14
YKL006W,ribosomal 60S subunit protein L14A
YKL003C,mitochondrial 37S ribosomal protein YmS16
YKR006C,mitochondrial 54S ribosomal protein YmL13
YKR057W,ribosomal 40S subunit protein S21A
YKR081C,rRNA-binding ribosome biosynthesis protein RPF2
YKR084C,ribosome dissociation factor GTPase HBS1
YKR085C,mitochondrial 54S ribosomal protein YmL20
YKR094C,ubiquitin-ribosomal 60S subunit protein L40B fusion protein
YLL045C,ribosomal 60S subunit protein L8B
YLR009W,ATPase-activating ribosome biosynthesis protein
YLR029C,ribosomal 60S subunit protein L15A
YLR048W,ribosomal 40S subunit protein S0B
YLR061W,ribosomal 60S subunit protein L22A
YLR075W,ribosomal 60S subunit protein L10
YLR167W,ubiquitin-ribosomal 40S subunit protein S31 fusion protein
YLR185W,ribosomal 60S subunit protein L37A
YLR264W,ribosomal 40S subunit protein S28B
YLR287C-A,ribosomal 40S subunit protein S30A
YLR312W-A,mitochondrial 54S ribosomal protein YmL15
YLR325C,ribosomal 60S subunit protein L38
YLR333C,ribosomal 40S subunit protein S25B
YLR340W,ribosomal protein P0
YLR344W,ribosomal 60S subunit protein L26A
YLR367W,ribosomal 40S subunit protein S22B
YLR388W,ribosomal 40S subunit protein S29A
YLR406C,ribosomal 60S subunit protein L31B
YLR439W,mitochondrial 54S ribosomal protein YmL4
YLR441C,ribosomal 40S subunit protein S1A
YLR448W,ribosomal 60S subunit protein L6B
YML073C,ribosomal 60S subunit protein L6A
YML063W,ribosomal 40S subunit protein S1B
YML026C,ribosomal 40S subunit protein S18B
YML025C,mitochondrial 54S ribosomal protein YmL6
YML024W,ribosomal 40S subunit protein S17A
YML009C,mitochondrial 54S ribosomal protein YmL39
YMR024W,mitochondrial 54S ribosomal protein YmL3
YMR121C,ribosomal 60S subunit protein L15B
YMR131C,ribosome biosynthesis protein RRB1
YMR142C,ribosomal 60S subunit protein L13B
YMR143W,ribosomal 40S subunit protein S16A
YMR158W,mitochondrial 37S ribosomal protein MRPS8
YMR188C,mitochondrial 37S ribosomal protein MRPS17
YMR193W,mitochondrial 54S ribosomal protein YmL24/YmL14
YMR194W,ribosomal 60S subunit protein L36A
YMR225C,mitochondrial 54S ribosomal protein YmL44
YMR230W,ribosomal 40S subunit protein S10B
YMR242C,ribosomal 60S subunit protein L20A
YMR286W,mitochondrial 54S ribosomal protein YmL33
YNL306W,mitochondrial 37S ribosomal protein YmS18
YNL302C,ribosomal 40S subunit protein S19B
YNL301C,ribosomal 60S subunit protein L18B
YNL284C,mitochondrial 54S ribosomal protein YmL10/YmL18
YNL260C,ribosome biosynthesis protein LTO1
YNL252C,mitochondrial 54S ribosomal protein YmL17/YmL30
YNL185C,mitochondrial 54S ribosomal protein YmL19
YNL178W,ribosomal 40S subunit protein S3
YNL177C,mitochondrial 54S ribosomal protein YmL22
YNL162W,ribosomal 60S subunit protein L42A
YNL137C,mitochondrial 37S ribosomal protein NAM9
