0.000591287331273676	4	0...3	0...4
2.9892191935337e-4	1	0	0
0.00465327934775768	290	0	0
0.00157369375701685	11	0	0
0.00235231807450303	2	0	0
6.0905277365597e-4	4	0	0
7.9587482093973e-4	2	0	0
7.5728674090096e-4	4	0	0
0.00349410138073666	49	0	0
0.00168992599693992	2	0	0
4.5439560270603e-4	10	0	0
6.5620016010615e-4	4	0	0
0.00149186081779973	5	0	0
4.8267125305989e-4	7	0	0
6.5950416624216e-4	10	0	0
5.5554065182969e-4	1	0	0
7.9059719131921e-4	3	0	0
6.8013323437318e-4	5	0	0
0.00102511293160897	14	0	0
3.6329722536357e-4	2	0	0
0.00338252547831417	4	0	0
5.0303078609623e-4	6	0	0
8.6399747808298e-4	1	0	0
3.4329180197348e-4	3	0	0
3.4237607561261e-4	3	0	0
0.00130070703405774	6	0	0
5.3165109447e-4	3	0	0
9.9091116946303e-4	3	0	0
9.3761098797712e-4	4	0	0
1.7322776441746e-4	2	0	0
0.0012973484680998	1	0	0
0.00197872262793049	24	0	0
0.00185535472611986	12	0	0
0.00438370345713572	673	0	0
0.00238014679501555	2	0	0
4.2067508682967e-4	2	0	0
5.7807760624286e-4	4	0	0
7.3920604509177e-4	16	0	0
6.0765987349158e-4	3	0	0
0.00204814780537094	26	0	0
0.00151663485025471	15	0	0
0.00117552638233747	7	0	0
6.6559800478614e-4	2	0	0
6.4453588049211e-4	4	0	0
0.00195323301533089	6	0	0
6.4607867538445e-4	3	0	0
9.7185619121839e-4	8	0	0
0.0011183195593104	2	0	0
2.6639337405822e-4	1	0	0
6.4363365478538e-4	3	0	0
0.00154948475892156	11	0	0
0.00135662207193152	10	0	0
0.00171553073039106	2	0	0
0.00193993252404468	16	0	0
0.00143643536244143	7	0	0
5.0269147209682e-4	2	0	0
0.00182184915835782	4	0	0
0.00102934095868374	6	0	0
7.0464840132591e-4	3	0	0
0.00203747214095106	16	0	0
6.0562441061788e-4	2	0	0
3.7663067730693e-4	3	0	0
0.00115915148036112	5	0	0
0.00107718234059774	5	0	0
2.2739080455667e-4	1	0	0
5.6709540246835e-4	4	0	0
0.00227751862613741	25	0	0
0.00446361038668157	61	0	0
3.4683932219672e-4	15	0	0
3.5491187065294e-4	2	0	0
7.1977312901802e-4	9	0	0
9.9581911586107e-4	15	0	0
5.8347729463596e-4	2	0	0
9.2453515770317e-4	1	0	0
0.00115746144363602	4	0	0
4.8415859034878e-4	5	0	0
7.1897087440865e-4	1	0	0
1.7390755164069e-4	3	0	0
0.00156149139012037	1	0	0
0.001059279543249	4	0	0
8.0162730512429e-4	11	0	0
0.00135787829080271	10	0	0
6.6149265825204e-4	1	0	0
4.8937462970971e-4	3	0	0
0.00145631453831535	3	0	0
7.7484485854047e-4	9	0	0
0.0012259371894774401	4	0	0
0.00170596767853486	11	0	0
0.00148903615218587	2	0	0
0.00188474182452576	13	0	0
0.00345167170061687	12	0	0
0.00139538861376009	2	0	0
0.0012224815001223	1	0	0
0.00371775853567195	35	0	0
5.8029498234366e-4	3	0	0
0.00142674138440215	10	0	0
0.00139353304257377	3	0	0
5.4543433566106e-4	3	0	0
9.1930694541663e-4	4	0	0
0.00242036546368396	9	0	0
6.7111508148798e-4	5	0	0
0.00167322040999217	1	0	0
0.00177466075228257	17	0	0
0.00165035913744763	7	0	0
0.00191150747131409	17	0	0
9.1324075898609e-4	5	0	0
0.00183394030977513	6	0	0
0.00135732638514195	1	0	0
0.00114591928561094	9	0	0
0.00186492347749462	11	0	0
0.00111169055241139	8	0	0
1.8903658137217e-4	2	0	0
0.00107713551339044	4	0	0
6.849504032425e-4	3	0	0
8.3722763719655e-4	12	0	0
0.00108004718368422	4	0	0
0.0015844178502149	11	0	0
0.00170235960286386	7	0	0
8.3273807842644e-4	3	0	0
7.3135991971655e-4	2	0	0
7.0557380030092e-4	7	0	0
4.5011942673785e-4	1	0	0
0.00163759482867193	11	0	0
3.6108889134819e-4	1	0	0
4.0363803417131e-4	7	0	0
0.00131315556908325	4	0	0
0.00154886271775532	3	0	0
0.00193718603024202	5	0	0
8.1527172958557e-4	3	0	0
0.00116813118838331	48	0	0
0.0024936405557802	4	0	0
4.4409875864264e-4	5	0	0
6.2888060726243e-4	1	0	0
6.0682204460392e-4	6	0	0
6.4995511429054e-4	2	0	0
0.00115360307568074	4	0	0
9.19283749537625e-5	3	0	0
8.3211740985426e-4	3	0	0
0.0015314008837187	12	0	0
0.0016127581838295	15	0	0
0.00141397872393779	2	0	0
0.0046292952586942	367	0	0
0.001218844883961	3	0	0
2.4681443632246e-4	3	0	0
9.086315386601e-4	4	0	0
0.0011838921929782	2	0	0
0.00240718783191821	26	0	0
4.95701052712e-4	4	0	0
7.9941984162972e-4	10	0	0
0.00117015324012979	1	0	0
4.5562847511321e-4	2	0	0
6.0223202651225e-4	6	0	0
4.2070358890445e-4	2	0	0
9.6953901169619e-4	4	0	0
6.4118810329371e-4	3	0	0
9.0986295402788e-4	7	0	0
